NAME AS PUBLISHED,GENCODE ID,Oncogene(o) or TumourSupp(t),Cancer Type CLC2,Evidence level,CLC Version Number,analysis_subtype,PMID REFERENCE,CISelement publication,Cancer Type with CIS,CIS function,CIS location mouse GRCm38/mm10,whole CIS location human hg38
EGFLAM-AS1,ENSG00000249491,t,stomach,t,1,CLC1lit,26537802,,stomach,,,
EGFR-AS1,ENSG00000224057,o,liver,t,1,CLC1lit,26271667,,liver,,,
EGOT,ENSG00000235947,t,breast stomach neuroepithelial kidney ,pgt,1,CLC1lit,26159853  23535729 29209988 29042985 28901455 ,,breast stomach neuroepithelial kidney ,,,
Epist,ENSG00000249082,t,esophageal pituitary cervical ,tv,1,CLC1lit,26158411 28656268 30518760 ,,esophageal pituitary cervical ,,,
EWSAT1,ENSG00000212766,o,ewing_sarcoma ovarian bone nasopharyngeal ,t,1,CLC1lit,25401475 28979684 27860482 27816050 ,,ewing_sarcoma ovarian bone nasopharyngeal ,,,
FAL1,ENSG00000228126,o,ovarian lung prostate skin ,svtp,1,CLC1lit,25203321 28854421 28585762 29196104 ,,ovarian lung prostate skin ,,,
FENDRR,ENSG00000268388,t,stomach bone prostate lung ,ptvs,1,CLC1lit,25167886 29104509 28945760 30556873 ,,stomach bone prostate lung ,,,
FER1L4,ENSG00000088340,t,stomach neuroepithelial liver endometrial bone ,tvp,1,CLC1lit,26306906 28789454 28759956 27381864 30481787 ,,stomach neuroepithelial liver endometrial bone ,,,
FOXCUT,ENSG00000280916,o,breast esophageal nasopharyngeal ,pt,1,CLC1lit,25516208  25031703 28635400 ,,breast esophageal nasopharyngeal ,,,
FTX,ENSG00000230590,ot,liver colon skin neuroepithelial kidney ,ptv,1,CLC1lit,27065331  26629053 28330694 28112756 27983937 29925853 ,breast in CRISPR,liver colon skin neuroepithelial kidney ,,,
GAPLINC,ENSG00000266835,o,stomach colon bone lung ,ptv,1,CLC1lit,25277524 27259250 29427222 27729869 29785127 30177521 30522114 ,,stomach colon bone lung ,,,
GAS5,ENSG00000234741,to,breast kidney prostate pancreas urothelial lung stomach liver colon cervical ovarian endometrial urothelial esophageal neuroepithelial bone skin ,gptvm,1,CLC1lit,18836484  23676682  24026436  24069260  24357161  24884417  25120813  25326054  25400758  25959498  26163879  26503132  26511107  26548923 29308053 29229673 29225772 29207621 29180320 29170131 29098549 28671039 28666797 28521420 28519068 28396462 28386376 28117028 28099146 28059053 28035057 27878359 27827524 27779700 27743383 27445498 26707238 26404135 29445179 29969658 ,Moriarity2015-02 ,breast kidney prostate pancreas urothelial lung stomach liver colon cervical ovarian endometrial urothelial esophageal neuroepithelial bone skin sarcoma,Gain,1:161038092-161038156,chr1:173864370-173864435
GHET1,ENSG00000281189,o,stomach urothelial colon lung pancreas liver esophageal bone ,ptv,1,CLC1lit,24397586 27131316 29286919 29228419 29139562 28983895 28772210 28578256 28577495 27931286 30475755 ,,stomach urothelial colon lung pancreas liver esophageal bone ,,,
H19,ENSG00000130600,ot,ovarian thyroid urothelial gallbladder nasopharyngeal colon stomach breast lung neuroepithelial esophageal kidney prostate pancreas blood neuroepithelial choriocarcinoma skin oral tongue endometrial cervical ,gtv,1,CLC1lit,27193186  27093644  27091055  27073719  27040767  27027436  26931432  26886624  26722426  26274999  26171017  25866221  25205099  24988946  24920070  24685695  24466011 23711233 17786216 29350287 29344674  29344285 29332545 29287713 29273733 29260518 29219208 29214011 28975993 28919786 28848149 28804564 28781681 28779971 28544374 28358427 28123568 27693036 27247022 28797320 30256448 29693721 30474270 30481782 ,,ovarian thyroid urothelial gallbladder nasopharyngeal colon stomach breast lung neuroepithelial esophageal kidney prostate pancreas blood neuroepithelial choriocarcinoma skin oral tongue endometrial cervical ,,,
HEIH,ENSG00000278970,o,liver colon skin ,tv,1,CLC1lit,21769904 29081216 28487474 29081216 ,,liver colon skin ,,,
HNF1A-AS1,ENSG00000241388,o,liver lung esophageal colon urothelial bone ,tv,1,CLC1lit,27084450  25863539  24000294 29289833 29145164 29100339 28943452 28866868 28791380 28292020 27648140 29541223 ,,liver lung esophageal colon urothelial bone ,,,
HOTAIR,ENSG00000228630,o,cervical ovarian blood colon kidney nasopharyngeal lung head_and_neck breast neuroepithelial liver stomach thyroid oral urothelial bone gallbladder esophageal endometrial skin pancreas prostate retinoblastoma larynx ,gptv,1,CLC1lit,27229487  27166268  27122348  27069543  26962687  26826873  26781446  26717040  26707824  26592246  26577852  26261618  26183397  26172293  26136075  26111795  27549736  27301338  26036760  25994132  25728753  25149152  24953832  24788237  24285342  23862139  22614017  22258453 29335299 29336659 29298397 29285059 29222472 29187267 29156804 29141691 29141248 29137688 29130509 29080835 29079719 29022495 28938673 28931862 28670492 28641521 28600545 28476883 28441714 28415631 28407576 28259691 28182000 28177890 28159929 28122024 28083786 27966488 27941336 27895308 27816685 27246974 27736969 27695348 27690631 27683269 27594424 27574106 27542077 27484896 27467165 27323817 27301338 27277755 29473328 29221985 29137688 29440295 29336659 29778425 30172749 30464623 30105850 ,,cervical ovarian blood colon kidney nasopharyngeal lung head_and_neck breast neuroepithelial liver stomach thyroid oral urothelial bone gallbladder esophageal endometrial skin pancreas prostate retinoblastoma larynx ,,,
HOTAIRM1,ENSG00000233429,ot,colon PML blood head_and_neck stomach neuroepithelial ,ptv,1,CLC1lit,27307307  24824789  26436590 29905017 30302796 30376874 ,,colon PML blood head_and_neck stomach neuroepithelial ,,,
HOTTIP,ENSG00000243766,o,lung stomach prostate colon bone lung pancreas neuroepithelial esophageal thyroid urothelial tongue ,gptv,1,CLC1lit,27347311  27103834  27064878  26678886  26617868  26265284  25912306  26729200 29367594 29274585 29272003 29041935 28886531 28818070 28782268 28534516 27733185 29474928 30021349 30229808 30519045 ,,lung stomach prostate colon bone lung pancreas neuroepithelial esophageal thyroid urothelial tongue ,,,
HOXA-AS2,ENSG00000253552,o,stomach blood pancreas neuroepithelial colon breast gallbladder liver ,tv,1,CLC1lit,26384350  23649634 29312501 29310118 29118916 28545023 28388535 28112720 27855366 ,,stomach blood pancreas neuroepithelial colon breast gallbladder liver ,,,
HOXA11-AS,ENSG00000240990,t,ovarian liver lung neuroepithelial skin breast bone stomach cervical ,gtv,1,CLC1lit,26430965 29312625 29034803 28946213 28832185 28829501 28749709 28717185 28701685 28615992 28558357 28441948 27651312 27792998 ,,ovarian liver lung neuroepithelial skin breast bone stomach cervical ,,,
HULC,ENSG00000285219,o,colon liver blood bone ovarian urothelial nasopharyngeal neuroepithelial breast bile_duct prostate ,gptv,1,CLC1lit,27496341  27285757 27044827 26045809 22493738 29176650 29022892 28946549 28765279 28688193 28634076 28445086 28069548 28053545 28027578 27986124 27809873 27782152 29765457 29895332 ,,colon liver blood bone ovarian urothelial nasopharyngeal neuroepithelial breast bile_duct prostate ,,,
linc-ITGB1,ENSG00000226777,o,breast gallbladder liver ,tv,1,CLC1lit,26601916  26448925(retracted) 29228420 29201168 ,,breast gallbladder liver ,,,
linc-JPH1,ENSG00000249395,o,head_and_neck esophageal lung nasopharyngeal ovarian ,tvp,1,CLC1lit,27323410  27431358 29311567 28854977 28398871 29511340 30537154 ,,head_and_neck esophageal lung nasopharyngeal ovarian ,,,
linc-ROR,ENSG00000258609,o,breast pancreas thyroid esophageal ovarian liver lung colon ,tv,1,CLC1lit,27449099 26898939 26883251 29280051 29237490 29050257 29041978 28680141 28580169 28388536 27785603 27696511 27449099 29559320 30250400 ,,breast pancreas thyroid esophageal ovarian liver lung colon ,,,
linc-UBC1,ENSG00000281406,o,stomach urothelial lung colon cervical ,ptv,1,CLC1lit,25755750  23688781 28885863 28260919 29456724 29863244 ,,stomach urothelial lung colon cervical ,,,
LINC00152,ENSG00000222041,o,kidney stomach liver breast colon lung neuroepithelial gallbladder cervical oral ,ptv,1,CLC1lit,27186403  26799422  26540343 29339419 29180678 29156515 28819405 28800786 28787699 28651608 28592840 28343069 28337379 28178615 28109288 28078002 28077595 27829993 27633443 26538117 28536419 29339419 30064438 30310293 30289508 30404587 29863253 29991527 ,,kidney stomach liver breast colon lung neuroepithelial gallbladder cervical oral ,,,
LINC00261,ENSG00000259974,t,stomach liver colon choriocarcinoma ,ptv,1,CLC1lit,27439973(retracted) 29278875 29267503 27983929 27878953 ,,stomach liver colon choriocarcinoma ,,,
LINC00467,ENSG00000153363,t,neuroepithelial,t,1,CLC1lit,24586304,,neuroepithelial,,,
LINC00520,ENSG00000258791,o,breast,t,1,CLC1lit,27626181,,breast,,,
LINC00963,ENSG00000204054,o,prostate lung ,tvp,1,CLC1lit,24691949 28923857 ,,prostate lung ,,,
LINC00974,ENSG00000226629,o,liver,tv,1,CLC1lit,25476897,,liver,,,
LINC00982,ENSG00000177133,t,stomach,pt,1,CLC1lit,26334618,,stomach,,,
LINC01021,ENSG00000250337,t,colon,t,1,CLC1lit,26183718 28877474 29262524 ,,colon,,,
LINC01089,ENSG00000212694,t,breast stomach ,tvp,1,CLC1lit,27485121 29717028 ,,breast stomach ,,,
LINC01133,ENSG00000224259,ot,lung colon bone stomach ,ptv,1,CLC1lit,25908174  26840083  27443606 28390115 30134915 ,,lung colon bone stomach ,,,
LINC01138,ENSG00000274020,o,prostate,pt,1,CLC1lit,27556357,,prostate,,,
LINK-A,ENSG00000215808,o,breast lung ,tv,1,CLC1lit,26751287 28218907 30275711 ,,breast lung ,,,
LINP1,ENSG00000223784,o,breast cervical lung ,st,1,CLC1lit,27111890 29293402 27129154 ,,breast cervical lung ,,,
lncARSR,ENSG00000233086,o,kidney liver ,tv,1,CLC1lit,27117758 28464252 27886176 ,,kidney liver ,,,
lncRNA-ATB,ENSG00000244306,o,liver stomach pancreas colon breast prostate neuroepithelial bladder thyroid bone lung urothelial ovarian ,ptv,1,CLC1lit,24768205 25986864 26482611 26487301 25871474  27176634  27267902 29331759 29321082 28770959 28469952 28115163 27878433 29286182 28779166 29115412 29286182 29374493 29424918 30518916 29693289 ,,liver stomach pancreas colon breast prostate neuroepithelial bladder thyroid bone lung urothelial ovarian ,,,
lncRNA-BGL3,ENSG00000260629,t,blood,tv,1,CLC1lit,24837367,,blood,,,
lncRNA-EBIC,ENSG00000262904,t,cervical ovarian ,t,1,CLC1lit,25007342 30058681 ,,cervical ovarian ,,,
lncRNA-LET,ENSG00000281183,t,esophageal nasopharyngeal cervical gallbladder stomach urothelial lung ,pt,1,CLC1lit,26935396  26243049  25755778  25213660  25674261 29126868 28951520 28839463 28615956 27896272 ,,esophageal nasopharyngeal cervical gallbladder stomach urothelial lung ,,,
lncTCF7,ENSG00000249073,o,liver colon neuroepithelial lung ,tv,1,CLC1lit,26452542  25842979 29344178 29234033 29091867 27766570 25842979 ,,liver colon neuroepithelial lung ,,,
lncUSMycN,ENSG00000223850,t,neuroepithelial,sv,1,CLC1lit,24906397 27748806 ,,neuroepithelial,,,
LINC01433,ENSG00000230176,o,lung liver ,tv,1,CLC1lit,25820656 30317567 ,,lung liver ,,,
LSINCT5,ENSG00000281560,o,ovarian breast stomach liver ,ptv,1,CLC1lit,21532345 25526476 29755595 30472720 ,,ovarian breast stomach liver ,,,
LUADT1,ENSG00000196634,o,lung,t,1,CLC1lit,26291312,,lung,,,
MA-linc1,ENSG00000245146,o,lung breast,pt,1,CLC1lit,26337085,,lung breast,,,
MALAT1,ENSG00000251562,ot,thyroid gallbladder pancreas tongue ovarian lung stomach breast esophageal neuroepithelial cervical oral nasopharyngeal kidney colon bone urothelial liver blood choriocarcinoma retinoblastoma bile_duct ewing_sarcoma tongue endometrial ,tvgm,1,CLC1lit,27470543  27420766  27371730  27353727  27313681  27294002  27259812  27250026  27015363  26938295  26884862  26854446  26522444  26482776  26461224  25600645  25446987  25431257  25369863  24449823  24468535 29290968 29290771 29226325 29215734 29215698 29214735 29212230 29202181 29190941 29162158 29151968 29146194 29107050 29096355 29073720 29058818 28942451 28938647 28926115 28915533 28899458 28857668 28834690 28770968 28770558 28720061 28675122 28668966 28664617 28652379 28635228 28623135 28615056 28592124 28587379 28550678 28543721 28469957 28404923 28396617 28388584 28346809 28336564 28295550 28276823 28268166 28260102 28253859 28252165 28187000 28150831 28077118 28069878 28059437 28034748 28031721 27998273 27993818 27935117 27922078 27904771 27887846 27693631 27782152 24892958 29058818 29736319 29805668 29215734 29487387 29226325 30094957 30250297 29632340 30285605 30481748 30500989 30546959 ,Bard-Chapeau2014-01 Guo2016-01 Kodama2016-01 ,thyroid gallbladder pancreas tongue ovarian lung stomach breast esophageal neuroepithelial cervical oral nasopharyngeal kidney colon bone urothelial liver blood choriocarcinoma retinoblastoma bile_duct ewing_sarcoma tongue endometrial ,Gain NotDetermined ,19:5795689-5802671 19:5795690-5802672 ,chr11:65499044-65506473 chr11:65499043-65506468 
MEG3,ENSG00000214548,t,pancreas gallbladder lung prostate cervical liver pituitary stomach kidney thyroid colon endometrial breast tongue urothelial neuroepithelial bone esophageal ovarian blood nasopharyngeal skin ,gptv,1,CLC1lit,26850851  26812694  26729200  26610246  26574780  26444285  26284494  26253106  26223924  25997963  25992654  25636452  27470401  27166155  24343426  24098911  23295831  22234798 29328401 29132136 29123412 29094270 29027534 28975980 28959364 28847847 28791407 28787698 28731151 28669734 28635399 28539329 28463794 28423647 28405686 28400619 28374914 28345805 28320094 28260796 28190319 27860482 27852821 27832204 27778235 27597634 27470401 27453422 27432655 27166155 26934323 26885901 27824082 29710493 28653609 29628342 29808164 30072211 30284203 30461333 30310931 30556337 30556250 ,,pancreas gallbladder lung prostate cervical liver pituitary stomach kidney thyroid colon endometrial breast tongue urothelial neuroepithelial bone esophageal ovarian blood nasopharyngeal skin ,,,
MIR100HG,ENSG00000255248,o,blood colon ,t,1,CLC1lit,25027842 29035371 ,,blood colon ,,,
MIR31HG,ENSG00000171889,t,stomach pancreas neuroepithelial lung oral cervical bone colon breast liver head_and_neck ,ptvm,1,CLC1lit,26692098 26549028 26164206 29367106 28639619 28529576 29129878 28963737 26362196 24631686 30176933 30458787 ,Morris2016-01 Takeda2015-02 Rad2015-01,stomach pancreas neuroepithelial lung oral cervical bone colon breast liver head_and_neck ,NotDetermined,4:88908096-88930096 4:88917606-88927893 4:88923755-88955755 ,chr9:21509332-21550905 chr9:21534670-21548899 chr9:21546324-21581534 
MONC,ENSG00000215386,o,blood,tm,1,CLC1lit,25027842,Rahrmann2013-01 Rad2015-01 Bard-Chapeau2014-01 ,blood neuroepithelial pancreas liver ,NotDetermined,16:77329328-77558428 16:77499336-77515336 16:77616440-77616440 ,chr21:16194292-16490297 chr21:16418516-16431550 chr21:16561654-16561655 
MT1DP,ENSG00000205361,t,liver,tv,1,CLC1lit,25261601,,liver,,,
MYU,ENSG00000261373,o,colon,t,1,CLC1lit,27568568,,colon,,,
NBAT-1,ENSG00000260455,t,neuroepithelial kidney ovarian lung stomach ,pt,1,CLC1lit,25517750 26097558 28435289 30323972 30287498 ,,neuroepithelial kidney ovarian lung stomach ,,,
NcRAN,ENSG00000163597,o,urothelial neuroepithelial colon esophageal cervical stomach lung breast ovarian liver ,ptv,1,CLC1lit,21147498  19287950  24519959 29416674 29234154 29126969 29081409 28935465 28232182 27396952 29461589 30132983 30573973 ,,urothelial neuroepithelial colon esophageal cervical stomach lung breast ovarian liver ,,,
NEAT1,ENSG00000245532,o,urothelial lung breast stomach ovarian liver larynx esophageal neuroepithelial colon thyroid prostate cervical nasopharyngeal bone endometrial cervical kidney bile_duct pancreas ,pstvgm,1,CLC1lit,27384674  27351135  27147820  27095450  27075229  27064257  26822763  26609486  26582084  26552600  26191242 29363783 29323713 29319165 29225160 29207151 29180871 29152741 29138341 29095526 29091312 29085511 29062236 29050268 29047232 28946559 28805661 28762332 28720546 28615056 28526689 28447190 28423658 28401449 28338194 28269753 28239820 28122578 28034643 28013491 28000845 27888106 27878295 27822425 27020592 27664948 27556296 28698299 29544562 28762332 29515109 29091312 29565706 30024596 29970216 30377567 30154460 30185232 30254462 29319165 29323713 30596336 30575330 ,Bard-Chapeau2014-01 Morris2016-01 ,urothelial lung breast stomach ovarian liver larynx esophageal neuroepithelial colon thyroid prostate cervical nasopharyngeal bone endometrial cervical kidney bile_duct pancreas ,NotDetermined,19:5825498-5825498 19:5826200-5843200 ,chr11:65444511-65444512 chr11:65425222-65444060 
NKILA,ENSG00000278709,t,breast esophageal lung skin tongue colon ,ptv,1,CLC1lit,25759022 29379981 29348395 28412955 28123845 27613832 29481769 29761481 ,,breast esophageal lung skin tongue colon ,,,
ODRUL,ENSG00000260944,o,bone breast prostate ,tvp,1,CLC1lit,26408180 28750740 29562954 28323030 30389560 ,,bone breast prostate ,,,
OVAL,ENSG00000236719,o,ovarian colon skin ,stv,1,CLC1lit,24265805 30478051 ,,ovarian colon skin ,,,
PANDAR,ENSG00000281450,ot,urothelial breast liver lung stomach cervical pancreas bile_duct kidney thyroid colon bone retinoblastoma ovarian ,ptv,1,CLC1lit,27206339  26927017  26054684  26898439 29131264 28886528 28652769 28545465 28507479 28106228 28011477 27629879 29778422 30375398,,urothelial breast liver lung stomach cervical pancreas bile_duct kidney thyroid colon bone retinoblastoma ovarian ,,,
PCA3,ENSG00000225937,o,prostate ovarian ,ptv,1,CLC1lit,23130941 28864116 28739722 27743381 26960690 30569456 ,,prostate ovarian ,,,
PCAN-R1,ENSG00000228288,o,prostate lung stomach colon ,stpv,1,CLC1lit,23728290 27458097 30178843 30464520 30314898 30569799 ,,prostate lung stomach colon ,,,
PCAN-R2,ENSG00000231806,o,prostate lung nasopharyngeal ,stpv,1,CLC1lit,23728290 29275424 28728844 ,,prostate lung nasopharyngeal ,,,
PCAT-1,ENSG00000253438,o,liver prostate lung urothelial esophageal colon bone stomach ,gptv,1,CLC1lit,27035680 26823525 26770456 25934337 23640607 29314203 29291409 28931210 28922730 28887306 28884413 28855110 28742205 28571676 27526323 29430187 ,,liver prostate lung urothelial esophageal colon bone stomach ,,,
PCAT18,ENSG00000265369,o,prostate,t,1,CLC1lit,24519926,,prostate,,,
PCAT5,ENSG00000280719,o,prostate,t,1,CLC1lit,26282172,,prostate,,,
PCGEM1,ENSG00000227418,o,prostate endometrial ,gptv,1,CLC1lit,25200485 23459097 27682980 30257404 ,,prostate endometrial ,,,
PINT,ENSG00000231721,t,colon lung neuroepithelial ,tvm,1,CLC1lit,24070194 29078818 30367041 ,Rad2010-01 Morris2016-01 Bard-Chapeau2014-01 VanderWeyden2013-02 Giotopoulos2016-01 VanderWeyden2012-01 VanderWeyden2012-02 VanderWeyden2013-01 PerezMancera2012-01 Rad2015-01 ,colon lung neuroepithelial blood colon liver pancreas ,NotDetermined ,6:31041550-31208450 6:31062200-31125200 6:31110749-31110749 6:31144985-31177250 6:31153577-31209265 6:31165523-31218433 6:31168281-31190266 6:31179150-31179150 6:31062660-31062747 6:31063022-31063093 6:31077120-31093120 ,chr7:130838456-131097118 chr7:130876405-130958262 chr7:130939352-130939353 chr7:130990506-131041611 chr7:131003764-131097118 chr7:131026722-131108097 chr7:131031286-131071513 chr7:131049455-131049456 chr7:130876734-130876822 chr7:130877463-130877535 chr7:130899064-130918550 
PlncRNA-1,ENSG00000236830,o,esophageal prostate liver colon retinoblastoma bone ,tvp,1,CLC1lit,22264502 2433768 26906068 28835319 28212533 27232851 30096220 29554595 ,,esophageal prostate liver colon retinoblastoma bone ,,,
POU3F3,ENSG00000233639,o,stomach esophageal colon neuroepithelial,t,1,CLC1lit,26807174  26833746  26510906  25445282 28338200 24631494 ,,stomach esophageal colon neuroepithelial,,,
PRAL,ENSG00000279296,t,liver lung ,st,1,CLC1lit,26663434 27275496 28396580 ,,liver lung ,,,
PTCSC3,ENSG00000259104,t,thyroid neuroepithelial ,gt,1,CLC1lit,25562676  22586128  26274343 28513866 28187755 ,,thyroid neuroepithelial ,,,
PVT1,ENSG00000249859,ot,ovarian breast colon lung skin kidney prostate liver neuroepithelial urothelial stomach pancreas bone esophageal cervical blood thyroid nasopharyngeal endometrial head_and_neck ,stvpgmc,1,CLC1lit,17908964 24196785 29286144 29277611 29254209 29156724 29133127 29115513 29050519 29047230 29046366 28972861 28969069 28882595 28848163 28810651 28800314 28731781 28657147 28656879 28602700 28409552 28404954 28355965 28351322 28296507 28265576 28258379 28235236 28122299 27904703 27813492 27756785 27794184 27698800 27366943 27272214 27232880 26908628 26889781 26884974 26545364 26517688 26427660 26097562 25956062 25890171 25624916 25611436 25400777 25261932 25086665 24926545 24780616 29445147 29637007 29706652 30001707 30031900 30197791 29803929 30076414 30310517 30317572 30504754 27980086 ,Guo2016-01 Rangel2016-01 Kodama2016-02 Koso2012-01 Been2014-01 PerezMancera2012-02 ,ovarian breast colon lung skin kidney prostate liver neuroepithelial urothelial stomach pancreas bone esophageal cervical blood thyroid nasopharyngeal endometrial head_and_neck ,NotDetermined,15:62037986-62378096 15:62037987-62250975 15:62185400-62385400 15:62186647-62186647 ,chr8:127794497-1 28222804 chr8:127794498-128084689 chr8:128007516-128227815 chr8:128007970-128007971 
RMEL3,ENSG00000250961,o,skin,t,1,CLC1lit,27167340,,skin,,,
SAMMSON,ENSG00000240405,o,skin liver ,tv,1,CLC1lit,27008969 29262600 ,,skin liver ,,,
schlap1,ENSG00000281131,o,prostate urothelial ,tv,1,CLC1lit,24076601 26861061 28492138 ,,prostate urothelial ,,,
SLNCR1,ENSG00000227036,o,skin lung pancreas neuroepithelial liver stomach tongue breast thyroid urothelial ,ptgvm,1,CLC1lit,27210747 27845772 28984028 29621055 29339420 29312806 29221147 28423732 28214253 28039470 27213290 27027352 26098869 30499379 30482236 30106140 30042171 ,Morris2016-01 Takeda2015-03 PerezMancera2012-02 Takeda2015-02 ,skin lung pancreas neuroepithelial liver stomach tongue breast thyroid urothelial colon ,NotDetermined,11:113058086-113195086 11:113075580-113168391 11:113137614-113137614 11:113146312-113155090 ,chr17:72417432-72584371 chr17:72436555-72541055 chr17:72507275-72507276 chr17:72517264-72527179 
SNHG1,ENSG00000255717,o,neuroepithelial liver lung colon nasopharyngeal bone esophageal cervical stomach prostate pancreas larynx ,ptvmc,1,CLC1lit,27517149  27133041  5818744 29340086 29215719 29115574 29108989 29081407 28930646 28825722 28759957 28754593 28501778 28423738 28415044 28400279 28147312 27932778 27999202 30087712 29466052 30323965 30266084 27980086 ,Guo2016-01 ,neuroepithelial liver lung colon nasopharyngeal bone esophageal cervical stomach prostate pancreas larynx blood ,NotDetermined,19:8723475-8726443 19:8725866-8725991,chr11:62852786-62855895 chr11:62852909-62853035 
SNHG15,ENSG00000232956,o,stomach breast pancreas neuroepithelial bone lung ,tvp,1,CLC1lit,26662309 29217194 29137412 29048682 28720111 29630731 30402848 ,,stomach breast pancreas neuroepithelial bone lung ,,,
SOX2OT,ENSG00000242808,o,colon lung liver breast esophageal bile_duct neuroepithelial pancreas stomach ,ptgv,1,CLC1lit,27353770 26846097 26097588 25006803 24105929 29246536 29132362 28867247 28240100 27904704 29643475 29782828 30405772 ,,colon lung liver breast esophageal bile_duct neuroepithelial pancreas stomach ,,,
